POS,Description
CC,coordinating cojunction
CD,cardinal number
DT,determiner
EX,existential there
FW,foreign word
IN,preposition or subordinating conjunction
JJ,adjective
JJR,adjective - comparative
JJS,adjective - superlative
LS,list item market
MD,modal
NN,noun - singular or mass
NNS,noun - plural
NNP,noun - proper
NNPS,noun - proper plural
PDT,predeterminer
POS,possessive ending
PRP,personal pronoun
PRP$,possessive pronoun
RB,adverb
RBR,adverb - comparative
RBS,adverb - superlative
RP,particle
SYM,symbol
TO,to
UH,interjection
VB,verb - base form
VBD,verb - past tense
VBG,verb - gerun or present participle
VBN,verb - past participle
VBP,verb - non 3rd person singular present
VBZ,verb - 3rd person singular present
WDT,wh-determiner
WP,wh-pronoun
WP$,wh-pronoun possessive
WRB,wh-adverb
